2024-06-29T10:05:59.0025909+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.0027431+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.0612063+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: M3NYySy9IQz1S3mYjTyM6A
2024-06-29T10:05:59.0612840+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.0614385+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.0734595+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: M3NYySy9IQz1S3mYjTyM6A
2024-06-29T10:05:59.0734997+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.0735851+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.0763489+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: M3NYySy9IQz1S3mYjTyM6A
2024-06-29T10:05:59.0763879+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.0764479+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.9907424+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: M3NYySy9IQz1S3mYjTyM6A
2024-06-29T10:05:59.9910366+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.9921455+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
